name,artist,description,public_private,server,date,num,img
Mona Lisa,N/A,Mona Lisa,public,Arch,N/A,1,arch/1.png
Jesus,N/A,Its Jesus,public,Arch,N/A,2,arch/2.png
Not even sure what this is,N/A,clearly built on an ocean,public,Arch,N/A,3,arch/3.png
Burger Loli,Benito Tortellini,Unfinished image of burger loli,public,Arch,N/A,4,arch/4.png
Crusader's Christmas,Crusader Adolf,Christmas anime hoe over stone,public,Arch,N/A,5,arch/5.png
pink titties,rawr,tittes,public,Arch,N/A,6,arch/6.png
Wojak,N/A,issa Wojak,public,Arch,N/A,7,arch/7.png
Vaporwave shit,CatalystAngel,1x2 of some vaporwave shit,public,Arch,N/A,8,arch/8.png
Happy new year from gale,CatalystAngel,Hoe with a cool dragon 2x3,public,Arch,N/A,9,arch/9.png
I have the power of god and anime on my side,Mirrorglaze,Strange garlic creature says meme phrase,public,Arch,N/A,10,arch/10.png
I have a secret crush on you,Mirrorglaze,cute map with mews,public,Arch,N/A,11,arch/11.png
Double penetration,Mirrorglaze,hatsune miku getting 2 dicks at the same time,public,Arch,N/A,12,arch/12.png
Xaziss face,Xaziss,a map of Xaziss' face,public,Arch,N/A,13,arch/13.png
Sanguine Visage,Sanguine_,map of Crow's face,public,Arch,N/A,14,arch/14.png
Dragon head,pkadilan,huge dub for rfit gnag,public,Arch,N/A,15,arch/15.png
Hyoer's head,Hyperstimulating,a map of hyperstimulating's head,public,Arch,N/A,16,arch/16.png
Snake,Hyperstimulating,snake game map,public,Arch,N/A,17,arch/17.png
Obsidian rank voucher,Hyperstimulating,redeem this voucher for 1 free lifetime obsidian rank,public,Arch,N/A,18,arch/18.png
Gapple,Hyperstimulating,Gapple,public,Arch,N/A,19,arch/19.png
Dregg,Hyperstimulating,dregg,public,Arch,N/A,20,arch/20.png
TNT,Hyperstimulating,tnt go boom aaaah,public,Arch,N/A,21,arch/21.png
Artic camo,Hyperstimulating,artic camo- sort of tiling map,public,Arch,N/A,22,arch/22.png
Kyogre,3asymac + marisama,kyogre in da ocean,public,Arch,N/A,23,arch/23.png
Furret,patu,pink furret in da desert,public,Arch,N/A,24,arch/24.png
ireland flag,N/A,ireland flag,public,Arch,N/A,25,arch/25.png
Supreme (big),N/A,a larger supreme than highways,public,Arch,N/A,26,arch/26.png
you've just been gnomed,marisama,"you idiot, you've just been gnomed",public,Arch,N/A,27,arch/27.png
Kanna,marisama,Dragon loli,private,Arch,N/A,28,arch/28.png
Kobayashi,marisama,Miss kobayashi from the same anime as the dragon loli,private,Arch,N/A,29,arch/29.png
Kawii Stalin,marisama,stalin uwu,public,Arch,N/A,30,arch/30.png
Elma,marisama,elmo from sesame street,private,Arch,N/A,31,arch/31.png
Mari's kitty,marisama,cat shows u its bunghole,private,Arch,N/A,32,arch/32.png
Larry the cucumber,marisama,larry the cucumber from veggitales,public,Arch,N/A,33,arch/33.png
player list 2018,marisama,player list of people from 2018,public,Arch,2018,34,arch/34.png
awoo,marisama,awoo cat thing uwuwuwuwuwu,public,Arch,N/A,35,arch/35.png
qr code,hyperstimulating,qr code that goes to his youtube video i think,public,Arch,N/A,36,arch/36.png
big mac,Jake,can i get uuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuh big mac,public,Arch,N/A,37,arch/37.png
Large coke,Jake,beetus on tap,public,Arch,N/A,38,arch/38.png
Fries,Jake,crispy. Fun fact: all of the bright red on this and on the coke was TNT. VEry dangerous,public,Arch,N/A,39,arch/39.png
20 piece mcnuggies,Jake,nuggies,public,Arch,N/A,40,arch/40.png
linux,Jake,linux penguin vibing,public,Arch,N/A,41,arch/41.png
Windows,Jake,hey u need to update ur windows,public,Arch,N/A,42,arch/42.png
apple,Jake,apple gaming,public,Arch,N/A,43,arch/43.png
melon,Jake,one of jake's very first maps,public,Arch,N/A,44,arch/44.png
ahegao face,Jake,hentai face when ur getting dicked down,public,Arch,N/A,45,arch/45.png
Half-life lambda,Jake,the symbol for the half-life franchise,public,Arch,N/A,46,arch/46.png
Skyrim logo,Jake,Todd howard,public,Arch,N/A,47,arch/47.png
Fall out 3,Jake,Nigga stanced up in power armor from fall out 3,public,Arch,N/A,48,arch/48.png
illuminati?,N/A,mysterious map with the spooky triangle eye,public,Arch,N/A,49,arch/49.png
enderplay,aleks,endermen suckin on titties,public,Arch,N/A,50,arch/50.png
Happy winter mood,aleks,some afremov painting,public,Arch,N/A,51,arch/51.png
white haired anime hoe,Destroyer dex,white haired anime hoe,public,Arch,N/A,52,arch/52.png
huge milkers,N/A,mega milkers,public,Arch,N/A,53,arch/53.png
DB lion,N/A,issa lion,public,Arch,N/A,54,arch/54.png
Iron cross,Jake,Iron cross symbol,public,Arch,N/A,55,arch/55.png
Birthday map,Jake,map for i Nahuala's bday 2x2,public,Arch,N/A,56,arch/56.png
Erza Scarlet,Jake,"Erza Scarlet from Fairy tale commissioned by Nina (3x3, 7 unique maps)",private,Arch,N/A,57,arch/57.png
Homerick,Olly,homerick,public,Arch,N/A,58,arch/58.png
thats no moon,jhonbans,it is in fact the death star,public,Arch,N/A,59,arch/59.png
if u know u know,DarkOakLover69 & SwugoiSwugi,just a regular innocent girl from a manga that does nothing interesting,public,Arch,N/A,60,arch/60.png
Sailor neko,DarkOakLover69 and SwugoiSwugi,1x2 white haired cat girl in a sailor outfit or some shit,public,Arch,N/A,61,arch/61.png
Dirty Deeds Done Dirt Cheap [ゴゴ'ゴゴ'ゴゴ'],Skizzim,album cover of dirty deeds done dirt cheap,public,Arch,N/A,62,arch/62.png
High voltage,Skizzim,album cover of high voltage,public,Arch,N/A,63,arch/63.png
curves,curves,tiling map by skizz,public,Arch,N/A,64,arch/64.png
Anti-Q zone,H4500X,"edit of alphabet map, intended to disparage the player ""quixotic"" who goes by ""q"" in game and whom no one likes",public,Arch,N/A,65,arch/65.png
Reap clan banner,LucidObsidian,eyy gottem (1x2),public,Arch,N/A,66,arch/66.png
TS clan banner,Rubiks,castle banner for the TS clan (1x2),private,Arch,N/A,67,arch/67.png
H4,h4500x,portrait of the artist with asian symbols,public,Arch,N/A,68,arch/68.png
covid-19,h4500x,by looking at this map you have caught the roni,public,Arch,N/A,69,arch/69.png
nug,h4500x,close up on the nug,public,Arch,N/A,70,arch/70.png
cheefing monkey,h4500x,"Album cover for ""Music for the visually impaired"" by Eazy Mac",public,Arch,N/A,71,arch/71.png
Lil peep,h4500x,the dude in the middle looks like lil peep. idk if thats true but he looks like his name could be lil beep or something lol (2x2),public,Arch,N/A,72,arch/72.png
trippin balls,h4500x,hes trippin balls (2x2),public,Arch,N/A,73,arch/73.png
TSN,h4500x,sign for the TSN clan (2x1),public,Arch,N/A,74,arch/74.png
clown,N/A,clown lookin ass,public,Arch,N/A,75,arch/75.png
Senko san,N/A,fox loli,public,Arch,N/A,76,arch/76.png
pumpkin,Proderper,creepy pumpkin face,public,Arch,N/A,77,arch/77.png
Mirror's unicorn,Mirrorglaze (finished by crubleigh),unicorn,public,Arch,02/23/2020,78,arch/78.png
German imperial war flag,crubleigh,"big flag, comissioned by rubiks (2x3, 5 unique maps)",public,Arch,08/15/2019,79,arch/79.png
LV map,crubleigh,tiling map for big ballers,public,Arch,08/21/2019,80,arch/80.png
Windows XP cards,crubleigh,black suits of windows xp cards (27 maps),public,Arch,09/08/2019,81,arch/81.png
Windows XP cards,crubleigh,red suits of windows xp cards (27 maps),public,Arch,09/08/2019,82,arch/82.png
leopard print,crubleigh,leopard print tiling map,public,Arch,10/12/2012,83,arch/83.png
Greek flag,crubleigh,Commission for Bilis (my first map where I used litematica),public,Arch,01/01/2020,84,arch/84.png
Vines,crubleigh,vines on a diamond blue background,public,Arch,01/09/2020,85,arch/85.png
maze,crubleigh,tiling grey maze,public,Arch,01/11/2020,86,arch/86.png
N/A,"crubleigh, Jake, H4500x, Jeoboogie, credits for each letter can be found here (27 maps): https://imgur.com/a/S8Cn5e1",full set of alphabet letters,public,Arch,11/15/2019,87,arch/87.png
numbers,crubleigh + h4500x,"number and symbols to match the alphabet maps, credits also found above (27 maps)",public,Arch,04/03/2020,88,arch/88.png
chains,crubleigh,chains map in 2 colors,public,Arch,01/19/2020,89,arch/89.png
