name,artist,description,public_private,server,date,num,img
Saitama,LolimatorChestie,"2x3 2D, Poster of Saitama (One Punch Man) from the first episode during the subterranean fight.",public,era,08/27/2020,1,era/1.png
2,CTRLNonsense,"4x6, 002 from Darling in the Franxx",public,era,2020,2,era/2.png
Aqua,"hellfire16, iRaven","2x3, Aqua from Konosuba: God's Blessing on this Wonderful World!",public,era,08/22/2018,3,era/3.png
Asuna,CatalystAngel,"2x3, from SAO",public,era,2020,4,era/4.png
Blaze-chan,"KellytheNurse, iundeadlich",2x3,public,era,2020,5,era/5.png
Rias,xoVyra,"2x3, Rias from High School DxD",public,era,2020,6,era/6.png
Rem,xoVyra,"2x2, Rem from Re:Zero",public,era,2020,7,era/7.png
Wicca,0rianel,"2x2, Star with the elements",public,era,10/01/2020,8,era/8.png
Tamaki Kokatsu,LolimatorChestie,2x2,public,era,2020,9,era/9.png
Creeper,Cyborron,2x1,public,era,2020,10,era/10.png
Anime Pastries,Cyborron,2x2,public,era,2020,11,era/11.png
Totoro,HighnoonJhin,1x1,public,era,N/A,12,era/12.png
Gun Dude,CruxalTheFox,2x1,public,era,2018,13,era/13.png
Ahri,xoVyra,"2x3, character from LoL",public,era,2020,14,era/14.png
Carpe Diem,AporiosHG,"1x1, Skull",public,era,2020,15,era/15.png
Memento Mori,AporiosHG,"1x1, Skull",public,era,2020,16,era/16.png
Yato,MisterUni,"2x3, Yato from Noragami",public,era,2020,17,era/17.png
Sword Dude,ShiningShadow,2x1,public,era,N/A,18,era/18.png
School Girls,ExpertEdy,5x4,public,era,2019,19,era/19.png
Spidy Girl,0rianel,1x2,public,era,2020,20,era/20.png
Fox/Wolf Girls?,iRaven,2x3,public,era,03/07/2020,21,era/21.png
Jesus,CTRLNonsense,1x2,public,era,2020,22,era/22.png
Belmont,0rianel,"2x3, Belmont from Castlevania",public,era,2020,23,era/23.png
Hate,MidgetIRL,1x1,public,era,N/A,24,era/24.png
Owl,Cyborron,1x1,public,era,N/A,25,era/25.png
Space,Cyborron,1x1,public,era,N/A,26,era/26.png
Pewdiepie,Cyborron,2x2,public,era,N/A,27,era/27.png
Thicc,JellyCoins,2x4,public,era,N/A,28,era/28.png
Lion,CatalystAngel,2x2,public,era,N/A,29,era/29.png
Raptor,Raptor__,1x1,public,era,N/A,30,era/30.png
Big Tiddy,CTRLNonsense,2x3,public,era,2020,31,era/31.png
Server Indicator ERA,crubleigh & Mockin_Jay & Nyxiia (mute helped with the platform),2x2 interlaced indicator map for era,public,era,10/06/2020,32,era/32.png
Tribute to Rammstein,hellfire16,N/A,public,era,11/27/2020,33,era/33.png
Steven Universe Home-Statue Hand,LolimatorChestie,"4x2 2D, cool wallpaper",public,era,N/A,34,era/34.png
Saturn Devouring His Son Painting (Goya),LolimatorChestie,3x2 2D,public,era,2020,35,era/35.png
Setsuko,LolimatorChestie,1x1 2D Setsuko from Grave of the Fireflies,public,era,2020,36,era/36.png
Infernal,LolimatorChestie,"1x1 2D ""No just any infernal. An Infernal with horns. A demon..."" ( from Fire Force )",public,era,2020,37,era/37.png
Betelgeuse,LolimatorChestie,"1x1 2D ""brain trembling"" representation of Betelgeuse Romanee-Conti from Re:Zero",public,era,01/30/2021,38,era/38.png
Commander,LolimatorChestie,1x1 2D,public,era,02/02/2021,39,era/39.png
2,LolimatorChestie,1x1 2D Zero Two from Darling in the Franxx,public,era,2019,40,era/40.png
Goodnight Girl,LolimatorChestie,"1x1 2D Twomad in the ""Goodnight girl, I'll see you tomorrow"" meme",public,era,2019,41,era/41.png
Sansward,LolimatorChestie,1x1 2D Squidward but Sans,public,era,2020,42,era/42.png
HellDemon,LolimatorChestie,1x1 2D Just a cool drawing of a demon I decided to make a mapart out of. I think the original artist behind the drawing is Sanskarans,public,era,2020,43,era/43.png
Flowey,LolimatorChestie,1x1 staircased (my first staircased map) It's Flowey from Undertale but creepyer,public,era,02/15/2021,44,era/44.png
Bad Time,LolimatorChestie,1x1 staircased Sans but Evil,public,era,02/20/2021,45,era/45.png
Ram,LolimatorChestie,2x1 staircased (Ram in the 10th ep of Re:Zero season 2 part 2),public,era,03/19/2021,46,era/46.png
Oh noo,LolimatorChestie,1x1 staircased,public,era,04/24/2021,47,era/47.png
Picardia,"Nyxiia, josoph",picardia4life 4x3 carpets,private,era,05/30/2021,48,era/48.png
Negative by MalphusVI,"Rocky_Start, Commissioned by PunL0rd",MalphusVI told me he might come back if i make this a big one.,private,era,06/19/2021,49,era/49.png
Naked Apron,Rocky_Start,"Map Art Commission by glueaddict, its a man wearing a naked apron.",private,era,04/23/2021,50,era/50.png
