name,artist,description,public_private,server,date,num,img
discord.gg/minewind,N/A,"First center spawn map advertising the discord server MINEWIND DISCORD, previously known as SUN DISCORD.",public,spawn,09/17/2020,1,spawn/1.png
Server Indicator,"Crubleigh, zafnplus, BiggumsRTMC, TechnoArrow",Spawn map built with icons of each subserver.,private,spawn,09/27/2020,2,spawn/2.png
Blowjob Spinning,Patchika,"1x1 fullblock flat, an elf sucking some blue things dong",public,spawn,04/17/2021,3,spawn/3.png
Lucifer from Helltaker,Patchika,"Lucfer dancing, 1x1 fullblock flat, the first map in the series of recommendations, starting with games.",public,spawn,05/05/2021,4,spawn/4.png
Redl on Top -Sun Tzu,RoofusDaMoofus,1x1 Flat Carpet on stone,public,spawn,08/08/2021,5,spawn/5.png
Lo-Fi hip hop girl is the victim of a stand user,LinuxLove,1x1 flat carpet spin map I SCREWED UP I MADE THE ANIMATION IN REVERSE,public,spawn,10/08/2021,6,spawn/6.png
Fat Jensin Capone,muncenbuncen,"1x1 2D tile, Commission for Futanol",public,spawn,12/08/2021,7,spawn/7.png
Duckko Giveaway,Baphomet_Kun,1x1 commission for Duckko,public,spawn,11/07/2021,8,spawn/8.png
RetarDev,N/A,1x1 Flat Carpet,public,spawn,02/2022,9,spawn/9.png
Join Dull - Wither Skull edition,N/A,1x1 Flat Carpet,public,spawn,02/2022,10,spawn/10.png
"Join Dull - Girls, Guns, Glory edition",YazRU,1x1 Flat Carpet,public,spawn,02/2022,11,spawn/11.png
The Oink Clan Banner [SPAWN] + Pink Map,zafnplus and Alexisbabee18,"The pigs have breached spawn's outer walls. This time the server falls. 1x3, 2D Carpet",public,spawn,04/22/2022,12,spawn/12.png
Deep Fried Swine,zafnplus,"Snort compressed 8 bit.wav 1x1, carpet",public,spawn,04/22/2022,13,spawn/13.png
