name,artist,description,public_private,server,date,num,img
Overwatch,Hobo and Prose,Boobs (Possibly The First Mapart on Sun) 2D 1x2.,public,sun,N/A,1,sun/1.png
Lucas SSBU,Kakistocracy,Kaki's first mapart on sun. A 2D 1x1 of a SSBU character.,public,sun,N/A,2,sun/2.png
Dude weed lmao,Kakistocracy,A pepe map made by Kaki 2D 1x1.,public,sun,N/A,3,sun/3.png
The White Map,N/A,A white 2D 1x1 isignia of a fidget spinner.,public,sun,N/A,4,sun/4.png
Original Celtic Cross.~Kakistocracy,Kakistocracy,A 2D 1x1 rotational map that creates a cross when presented as a 2x2.,public,sun,N/A,5,sun/5.png
List.~Kakistocracy,stuntdumbys,"A list of random items: Broken Keyboard, Santa's Rage, Bedwars, Explosion, Sneaking, Falling, Playing, Stunt, Sean, Combat, Loot 2D 1x1",public,sun,N/A,6,sun/6.png
PedoColby,Kakistocracy,A 2D 1x1 of Colbyjett's mugshot.,public,sun,N/A,7,sun/7.png
Lil' Fox,Kakistocracy,A 1x1 2D map made by kaki as a commission.,public,sun,N/A,8,sun/8.png
Bling Bling,BiggumsRTMC,A 2x2 2D mapart of Bling Bling Boy from Johnny Test.,public,sun,4/30/2019,9,sun/9.png
McDonald's,BiggumsRTMC,A 2x2 2D mapart of the McDonald's logo.,public,sun,5/15/2019,10,sun/10.png
Solenodon Birthday Card,BiggumsRTMC,A 1x1 2D invitation to solenodon's birthday party (It's every day).,public,sun,5/23/2019,11,sun/11.png
Shaco,Kakistocracy,A 3x3 2D mapart of the character Shaco.,public,sun,5/23/2019,12,sun/12.png
KFC,BiggumsRTMC,"A 4x4 2D map of the KFC logo, was the largest mapart on Minewind for some time.",public,sun,08/04/2019,13,sun/13.png
Amused Anime Girl,N/A,2D 1x1 mapart of a girl who is trapped in a dimension where the only observable colors are blue and red.,public,sun,N/A,14,sun/14.png
PuffyBoo's Sans Undertale,PuffyBooTheBear,1x1 2D mapart of Sans built by Puffy at an HOA base.,public,sun,N/A,15,sun/15.png
PuffyBoo's Gay Goat Boy,PuffyBooTheBear,1x1 2D mapart of a goat from the Hasbro game Undertale. Built next to PuffyBoo's Sans Undertale.,public,sun,N/A,16,sun/16.png
Adverse's Dino Waifu,Adverse,1x1 2D mapart of a pink haired dinosaur gf.,public,sun,N/A,17,sun/17.png
Scrappydoo by Oldham,Oldham,1x1 2D mapart of Scrappydoo from the show Scooby Doo.,public,sun,N/A,18,sun/18.png
TrillestLucina's Yui,TrillestLucina,1x1 2D mapart of Yui spreading world peace.,public,sun,N/A,19,sun/19.png
TrillestLucina's Hitler/Kirby,TrillestLucina,1x1 2D mapart of Kirby and the big man.,public,sun,N/A,20,sun/20.png
TrillestLucina's JokerYui,TrillestLucina,1x1 2D mapart of Yui after society pushed her off the edge. Was a seperate piece built after the original Yui mapart was griefed.,public,sun,N/A,21,sun/21.png
Fluffy Mapart,BiggumsRTMC,"1x1 of Biggum's rescue dog Fluffy, a Cairn Terrier that liked to eat. After being hit by a car, having it's tail amputated, getting diabetes, developing cataracts, having multiple teeth pulled, losing both eyes, she was able to rest after enduring a seizure which resulted in her being put down. When she was youthful, she was loving to everyone. Construction began after the funeral, and the map was completed in 9 days. It was a 1x1, and the first 3D mapart on sun.",public,sun,08/25/2019,22,sun/22.png
Groovin,BiggumsRTMC,1x1 2D mapart of a man with groove. This was made for Pea_kay to match his discord profile picture.,public,sun,08/31/2019,23,sun/23.png
Mommys Milkies,Ride__Mc,A 1x1 2D map of a dommy mommy who has some fat knockers. First nude NSFW mapart on sun.,public,sun,01/27/2020,24,sun/24.png
Angry and Cute,Artael,A 1x1 2D mapart of an angry black man. Artael's first mapart.,public,sun,N/A,25,sun/25.png
What Can You Do ?,Artael,"A 1x1 2D mapart of Angel the Spider from Hazbin Hotel, the same character portrayed as Artael's in game skin.",public,sun,N/A,26,sun/26.png
Nazi Flag -BiggumsRTMC,BiggumsRTMC,"A 2D rotational piece made of 2 maps, but is displayed as a 2x4. Every server needs a german presence.",public,sun,09/11/2019,27,sun/27.png
CIC Banner,BiggumsRTMC,A 2D 3x1 banner for the clan CIC. The isignia for the CIC clan design was custom made by Biggums. The mapart was used to compliment an obsidian castle 1000 blocks on the west road for a building competition.,public,sun,12/24/2019,28,sun/28.png
Happy 800 Peter!,TrillestLucina,A 1x1 2D mapart built for peterd101's 800th birthday party.,public,sun,01/25/2020,29,sun/29.png
Jedi Order Banner,BiggumsRTMC,"A 2D piece composed of 2 maps to be presented as a 1x3. Built for peterd101's as a birthday present, the map was meant to be used as a decoration at the jedi clan home.",public,sun,03/24/2020,30,sun/30.png
Fate,zafnplus,God created men equal. Colonel Colt made them equal. (1x1 2D),public,sun,02/16/2020,31,sun/31.png
Funeral's Ego,crubleigh,1x2 2D mapart commissioned by FuneralSuits.,public,sun,N/A,32,sun/32.png
Temmie,Floppyoppy,1x1 2D mapart of the character Temmie.,public,sun,N/A,33,sun/33.png
Awkward Honk,Floppyoppy,1x1 2D mapart of two kahjiits groping each other.,public,sun,N/A,34,sun/34.png
[YRN OP] Smug of a nation,Artael,"1x1 2D mapart of a custom emote in the YRN Discord server, now called: SUN DISCORD.",private,sun,N/A,35,sun/35.png
Weeb Girl,KryLord3,2x1 2D mapart of a woman who has fallen on the floor and is gasping for air. Was made as a commission.,public,sun,N/A,36,sun/36.png
Mym - Official_Rackam,Official_Rackam,1x1 2D mapart of Mym getting ready to do boobie reveal.,public,sun,03/24/2020,37,sun/37.png
ISIS,"TrillestLucina, TneckNiv, BiggumsRTMC, James_Manson, Frankkuuu, TheInfamousLogan",2x3 2D mapart composed of 5 Unique maps to create the isis flag.,private,sun,04/04/2020,38,sun/38.png
CEO of Racism,Floppyoppy,1x1 2D mapart of the man behind the death of Trayvon. JUSTICE FOR TRAYVON MARTIN N****!!!,public,sun,04/05/2020,39,sun/39.png
Black & White,Artael,1x2 2D mapart of a white dommy mommy ejcaulating a black man.,public,sun,N/A,40,sun/40.png
Frankkuuu's Furry Friend,Frankkuuu,"1x1 2D mapart of a human-like fox abomination going into cardiac arrest, grabbing her chest, as well as mention her heart so you can call an ambulance.",public,sun,N/A,41,sun/41.png
bold and brash,mungman,1x2 2D mapart of the Squidward painting from the hit Roblox game: Lumber Tycoon 2.,public,sun,N/A,42,sun/42.png
Tater Tots (there is no name),tatatot234,"After failing to hire a commission for the map, tatatot234 took it upon himself to build a 2x2 2D mapart depicting his favorite ablum cover photoshopped with his face on it.",public,sun,N/A,43,sun/43.png
Nico Yazabae,mungman,1x1 2D mapart built by mungman for a commission.,public,sun,N/A,44,sun/44.png
Trainraider's Halloween Wallpaper,Trainraider,1x1 2D mapart built as a wallpaper pattern.,public,sun,N/A,45,sun/45.png
UFO Machine,CatalystAngel,1x2 2D mapart built for a claw machine at the base Hejypt.,public,sun,N/A,46,sun/46.png
Monopoly Board,BiggumsRTMC,1x1 2D board built on a mapart axis to be a functioning game of Monopoly at the base Hejypt.,public,sun,N/A,47,sun/47.png
Jesus Christ,BiggumsRTMC,2x2 3D mapart of the Lord. This mapart was made before a Mr. Freed mapart because God had damned BiggumsRTMC for worshiping false idols (losing 300+ deggs because of lag).,public,sun,04/21/2020,48,sun/48.png
Ryuko,mungman,2x2 2D mapart of a malnourished woman staring at a plate of food.,public,sun,N/A,49,sun/49.png
B U G S,BugsBunny93,"A collection of 4 1x1 2D maparts spelling 1 block wide line text ""BUGS.""",public,sun,N/A,50,sun/50.png
Crazy Eights,N/A,An older map shrouded in mystery 1x1 2D mapart.,public,sun,N/A,51,sun/51.png
"Ash's Super Special 1,000 Day Map!",,"Ash? More like, genital yeast rash. (Please dm me any information about this). 1x1 2D mapart.",private,sun,N/A,52,sun/52.png
(KIGA) - Funeral,FuneralSuits,KIA Minewind sing-along Parody of B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],public,sun,N/A,53,sun/53.png
You can't afford it - Macaw&Tom,"TOM203, Macaw",Diagram of the small intestine 1x1 2D mapart.,public,sun,N/A,54,sun/54.png
Garfield Week,FuneralSuits,"A collection of images from the Garfield Show on Cartoon Network, composed of 4 unique 2D maparts. The 3 other planned maparts were never completed (unless).",public,sun,N/A,55,sun/55.png
Waffle House,mungman,1x1 2D mapart of Waffle House logo.,private,sun,N/A,56,sun/56.png
majora - mung,mungman,2x3 2D mapart of the game Majora's Mask.,public,sun,N/A,57,sun/57.png
Red Lobster,KryLord3,Lobsterfest is back! 1x1 2D mapart.,public,sun,N/A,58,sun/58.png
Waffle House 2,"mungman, Roni2001",Who let the dogs out? Minecraft parody 1x1 2D mapart.,public,sun,N/A,59,sun/59.png
Baratheon - Tan,TanTan89,1x1 2D mapart of a deer.,public,sun,04/24/2020,60,sun/60.png
CTR,TanTan89,1x1 2D mapart of Crash Bandicoot boat racing at spawn.,public,sun,04/25/2020,61,sun/61.png
Elf,NinjaLemon007,"NinjaLemon's first map, 5x5 2D mapart.",public,sun,05/09/2020,62,sun/62.png
Skellybob,NinjaLemon007,Ahhh! This haunted map won't leave me alone! 1x1 2D mapart.,public,sun,09/11/2020,63,sun/63.png
Three Houses,"NinjaLemon007, KryLord3, Mungman",This was a commission for Lejit. This map has every frame stacked on top of each other. 4x4 2D mapart.,public,sun,05/24/2020,64,sun/64.png
PvP banner,NinjaLemon007,Commission for FuneralSuits. 5x4 2D mapart.,public,sun,05/26/2020,65,sun/65.png
Sword Art Online,Kakistocracy,2x3 2D mapart of Jim Davis Garfield.,public,sun,N/A,66,sun/66.png
R I F T G N A G,Kakistocracy,"1x1 2D mapart of the infamous Rift Gang! Rift Gang gives, Rift Gang takes.",public,sun,N/A,67,sun/67.png
end of eva - mung,mungman,1x2 2D mapart of the iCarly ending.,public,sun,N/A,68,sun/68.png
youtube.com/watch?v=Lhs1T-x7gro,"TOM203, Macaw","LeafyisHere intro vibes, vaporwave kinda fresh. 1x1 2D mapart.",public,sun,N/A,69,sun/69.png
I Hate Obby Ranks,InfernosLight,InfernosLight,public,sun,N/A,70,sun/70.png
Red Fidget Spinner,N/A,Looks like a fidget spinner. 1x1 2D mapart.,public,sun,N/A,71,sun/71.png
I HATE TEHM AND I HAVE A TP TO HIS BASE,crubleigh,Tehmmy Turner 1x2 2D mapart.,public,sun,N/A,72,sun/72.png
Spyro - Bugs,BugsBunny93,Spyro is part of rift gang. 1x1 2D mapart.,public,sun,N/A,73,sun/73.png
Ol' Glory - Tan,TanTan89,Epic American Flag dub take that greeks. 1x2 2D mapart.,public,sun,N/A,74,sun/74.png
Wolfchungus,BugsBunny93,What a wolf using /shout looks like. 1x1 2D mapart.,public,sun,N/A,75,sun/75.png
Have you ever dreamt me? - Tom&Teo,"TOM203, Teocomo",Have you ever dreamt about Minewind? Now that is truly terrifying. 1x1 2D mapart.,public,sun,N/A,76,sun/76.png
Chad Floppy,Floppyoppy,Kahjiit Kroger ad. 1x1 2D mapart.,public,sun,N/A,77,sun/77.png
http://discord.gg/cfJbC6t,Roni2001,QR code that sends you to the SUN DISCORD 1x1 2D mapart.,Public,sun,N/A,78,sun/78.png
Leaked.Nude,Floppyoppy,Khajiit nudes on onlyfans 1x1 2D mapart.,public,sun,N/A,79,sun/79.png
QR#1,Roni2001,This QR code works. Where does it go? 1x1 2D mapart.,public,sun,N/A,80,sun/80.png
Fun_After_Castle,Artael,Gayspider ranch. 1x1 2D mapart.,public,sun,N/A,81,sun/81.png
"qr, qhfnr. qr.-_ChowderHead",_ChowderHead,No. 1x1 2D mapart.,public,sun,N/A,82,sun/82.png
The Orange Man - CaptainFred01,CaptainFred01,1x1 2D mapart of the President of the United States.,public,sun,N/A,83,sun/83.png
Pikachu,GrayDogNinja17,1x1 2D mapart of MouseTrapMonday's latest catch.,public,sun,N/A,84,sun/84.png
Luigi,GrayDogNinja17,Luigi has lost his balance and is about to fall down a flight of stairs. 1x1 2D mapart.,public,sun,N/A,85,sun/85.png
aang,GrayDogNinja17,1x1 2D mapart of Aang holding a walking stick from Cracker Barrel.,public,sun,N/A,86,sun/86.png
Aang Backdoors Minewind,GrayDogNinja17,1x2 2D mapart of Aang using creative mode at spawn.,public,sun,N/A,87,sun/87.png
Shep Art By Doofy,Doofydude,1x1 2D mapart of a minecraft sheep.,public,sun,N/A,88,sun/88.png
Succ,Floppyoppy,2x2 2D mapart of pikachungus.,public,sun,N/A,89,sun/89.png
MUSSOLINI_SilVerScientiST,SilVerScientiST,1x2 2D mapart of Terry Crews.,public,sun,N/A,90,sun/90.png
kill la kill - mung,mungman,2x2 2D mapart of a underage girl holding a firelink.,public,sun,N/A,91,sun/91.png
PvP,NinjaLemon007,"PVP clan's rival ISIS, had built an exclusive clan banner. After obtaining part of the map, PVP had created a ""fix"" to the top portion of the map missing. When combined with the bottom portion of the original ISIS map, it creates a new PVP clan banner, influenced by the enemy they swore to destroy. 1x3 2D mapart.",public,sun,06/07/2020,92,sun/92.png
Knights of the Vale,"BugsBunny93, TanTan89",Knights heading to White Castle 2x2 2D mapart.,public,sun,N/A,93,sun/93.png
N-word pass by Dadonge&Macaw,"Dadonge, Macaw",A 1x1 2D legal document used to say the n-word.,public,sun,N/A,94,sun/94.png
Expensive Whore,Artael,2x3 2D mapart of gayspider emptying out your degg shulker.,public,sun,N/A,95,sun/95.png
