name,artist,description,public_private,server,date,num,img
Black Rock,X1952,1x1 from Black Rock Shooter,public,terra,N/A,1,terra/1.png
Love Story,X1952,"1x1 from Yelawolf, Love Story album cover",public,terra,N/A,2,terra/2.png
I'm Ded,X1953,1x1 Colorfull Skull,public,terra,N/A,3,terra/3.png
Alphabet,X1954,1x1 all letters of the alphabet,public,terra,09/2020,4,terra/4.png
Error,X1952,1x1 command prompt error,public,terra,09/2020,5,terra/5.png
SpAcE CaDeT,"DjX, X1952, Wornado, Dodi",1x1 spontanious colaborative drawing,public,terra,N/A,6,terra/6.png
Server Indicator Terra,crubleigh & Mockin_Jay & legendofstarship & Interactii,2x2 rastered indicator map for Terra,public,terra,10/09/2022,7,terra/7.png
Zero,Zenovix,3x2 Staircased of Zero from Drakengard 3 slashing an innocent bystander to pieces while her pet dragon Mikhail prepares to feast on his remains.,public,terra,02/2021,8,terra/8.png
Lilith,LolimatorChestie,1x1 2D submission by GentleSnow,public,terra,N/A,9,terra/9.png
Albedo,LolimatorChestie,1x1 2D submission by GentleSnow,public,terra,N/A,10,terra/10.png
Named After An Airport,LolimatorChestie,1x1 2D submission by Jessapear,public,terra,N/A,11,terra/11.png
ZEN bad,LolimatorChestie,2x2 2D anti ZEN clan propaganda,public,terra,N/A,12,terra/12.png
???%,LolimatorChestie,2x2 2D Mob from Mob Psicho 100 at full power when unconscious,public,terra,N/A,13,terra/13.png
C.C,patchika,"1x1, 2d, floyd - steinberg dithering",public,terra,04/2021,14,terra/14.png
Lina Inverse,patchika,"1x2 fullblock flat, Lina inverse is casting a spell",public,terra,03/30/2021,15,terra/15.png
Tomoko Kuroki,Patchika & rN0p3,"1x1 fullblock flat, Tomoko Kuroki portrait",public,terra,07/20/2020,16,terra/16.png
"Berserk, Eclipse",Patchika,"1x1 fullblock flat, A berserk manga page turned into a map art.",public,terra,07/29/2020,17,terra/17.png
Setogaya Mari,Patchika,"1x1 fullblock flat, Setogaya Mari from Itadaki! Seieki, directly cropped from the hentai",public,terra,08/04/2020,18,terra/18.png
Hyper realistic Lenin with glowing eyes,Patchika,"1x1 fullblock staircased, Hyper realistic Lenin with glowing eyes, this map i made for my past clan MARX as a leaving gift",public,terra,09/21/2020,19,terra/19.png
X meme,Patchika,"1x1 fullblock flat, X once spammed this in chat, and this was the image that came to my mind, so i made it.",public,terra,02/19/2021,20,terra/20.png
SCP-682,Patchika,"1x2 fullblock flat, Some scientists observing SCP-682 just before containment breach",public,terra,03/01/2021,21,terra/21.png
Ahsoka,Fred786,2x1 of Ahsoka from Star Wars the Clone Wars,public,terra,N/A,22,terra/22.png
Demon Princess,Fred787,1x2 of a demon princess,public,terra,N/A,23,terra/23.png
Demon Girl,Fred786,2x2 of a demon girl,public,terra,N/A,24,terra/24.png
Ciara,Fred787,2x3 of a girl,public,terra,01/2021,25,terra/25.png
Witch,Fred788,3x3 of a witch holding a nether star,public,terra,02/2021,26,terra/26.png
"""facts""",Fred789,1x1 carpet comission for vindico_silenti,private,terra,03/04/2021,27,terra/27.png
Dota 2 classroom,Patchika,"Flat fullblock 3x2. Dota 2 characters if they were in a classroom as kids. My second map art in the series of recommendations, starting with games.",public,terra,06/13/2021,28,terra/28.png
Modern Day Pirates,Fred786,Modern Day Pirates,private,terra,04/29/2021,29,terra/29.png
Oni Mask,Fred787,3x3 carpet map,public,terra,06/14/2021,30,terra/30.png
Hoshiguma - Arknights,Patchika,"Flat fullblock 1x2.Hoshiguma from Arknights, go play it! My third map art in the series of recommendations, starting with games.",public,terra,06/19/2021,31,terra/31.png
204066 page 28,rN0p3,"1x1 carpet flat, A map made by my brother an ahego map from the manga under the number 204066 on n.hentai, also its slightly edited.",public,terra,10/09/2020,32,terra/32.png
Shimakaze ecchi,Patchika,"1x1 fullblock flat, Shimakaze spreading her legs",public,terra,25/07/2020,33,terra/33.png
Sypha Belnades NSFW,Patchika,"2x1 fullblock flat, Sypha Belnades getting fucked by 2 people.",public,terra,03/09/2021,34,terra/34.png
Retsuko NSFW,Patchika,"1x1 carpet flat, was a comission to someone, Retsuko from Aggrestuko",public,terra,03/24/2021,35,terra/35.png
Utsu-P GREATEST SHITS,Patchika,"Flat fullblock 2x2. Utsu-P's album cover called GREATEST SHITS, go listen to it! Its a vocaloid metal basically. My fourth map art in the series of recommendations, now featuring albums.",public,terra,07/04/2021,36,terra/36.png
Lucy Loud,LoserTheWybie,she kinda bad 1x1 Flat Wool,public,terra,08/12/2021,37,terra/37.png
Stag,mjohns20 & ychicken,1x1 Flat Wool,private,terra,10/22/2021,38,terra/38.png
We Do Not Sow,mjohns20,"1x1 flat, carpet",public,terra,12/21/2021,39,terra/39.png
Mitsuha,riry_D2,"2x1 flat, An anime girl waking up",public,terra,04/25/2021,40,terra/40.png
inabakumori - Anticyclone,Patchika,"Flat fullblock 2x2. Album from Vocaloid producer inabakumori featuring the voice of Kaai Yuki, Go listen to it! They are in the Pop Rock, J-Rock genre. My fifth map art in the series of recommendations, now featuring albums.",public,terra,03/14/2022,41,terra/41.png
REOL- Sigma,Patchika,"Flat fullblock 2x2. An artistic version of the album from REOL musical group called Sigma, Go listen to it! Its in the J-pop genre with elements of EDM and hip-hop . My sixth map art in the series of recommendations, now featuring albums.",public,terra,10/21/2022,42,terra/42.png
