name,artist,description,public_private,server,date,num,img
N/A,Gale (AKA CatalystAngel),3x4 2d,public,throne,N/A,1,throne/1.png
Pool Party Zoe,Gale (AKA CatalystAngel),1x2 2d,public,throne,N/A,2,throne/2.png
Attack On Titan,Gale (AKA CatalystAngel),,public,throne,N/A,3,throne/3.png
Red,Gale (AKA CatalystAngel),1x2 2d,public,throne,N/A,4,throne/4.png
Persistence of Memory,CaptainMarina,1x1 2d,public,throne,N/A,5,throne/5.png
Starry Night,CaptainMarina,1x1 2d,public,throne,N/A,6,throne/6.png
Sayori,MajesticPotato2,1x2 2d,public,throne,12/17/2018,7,throne/7.png
"N/A, commonly known as ""really good map art or hentai""",Sentaul,1x1 2d,public,throne,N/A,8,throne/8.png
1stTempest,Fierza MidgetIRL & testman12345,1x1 2d,public,throne,N08/06/2020,9,throne/9.png
(rainbow) Doge,Faeyna,1x1 2d,public,throne,2020,10,throne/10.png
"Isabelle ""After Hours""",CoordsInspector,1x1 2d,public,throne,07/2019,11,throne/11.png
HONK,GingerMars and MrBlock,1x1 2d,public,throne,09/2019,12,throne/12.png
CMYK,Crubleigh,1x1 2d tiling,public,throne,02/14/2019,13,throne/13.png
Hoshimachi Suisei,MorphRed,1x1 2d,public,throne,2020,14,throne/14.png
N/A (known as Ben & Exxy but thats the artists names),Seoss & Ben?,"1 of a 2x1, only known copy is in possession of ModVillain",public,throne,N/A,15,throne/15.png
"Nessa, Queen of the Waters",DiAmOnD2Assassin,1x1 2d,public,throne,2020,16,throne/16.png
Knight,Gale (AKA CatalystAngel),2x2 2d,public,throne,N/A,17,throne/17.png
N/A,Gale and Sentaul,2x3 2d,public,throne,N/A,18,throne/18.png
Fox Chan,Faeyna,2x2 2d,public,throne,07/2020,19,throne/19.png
Purple Kneel,SirBilliam,1x2 2d,public,throne,2020,20,throne/20.png
Swastika,Fynn Goyoka Gerovit,1x1 semi-tiling 2d carpet,public,throne,N/A,21,throne/21.png
Kids See Ghosts,CoordsInspector,1x1 2d,public,throne,06/19/2020,22,throne/22.png
Burberry,Crubleigh,1x1 2d tiling,public,throne,05/23/2020,23,throne/23.png
Topless Bather,SirBilliam,1x2 2d,public,throne,2020,24,throne/24.png
Lucario,Weex?,1x1 2d carpet,public,throne,N/A,25,throne/25.png
Shierke,BuffSuki420,1x1 2d carpet,public,throne,N/A,26,throne/26.png
Guts,NessaSpillsTea and BuffSuki420,1x1 2d carpet,public,throne,N/A,27,throne/27.png
Shared in the Sauna,NintendoOS,1x1 2d,public,throne,07/2020,28,throne/28.png
Panda,Allissss,1x1 2d carpet,public,throne,N/A,29,throne/29.png
Akira,NessaSpillsTea and BuffSuki420,1x2 2d,public,throne,N/A,30,throne/30.png
N/A,Faeyna,1x1 2d tiling,public,throne,08/2020,31,throne/31.png
Guts Casca,BuffSuki420,1x2 2d,public,throne,08/20/2020,32,throne/32.png
Death the Kid,BuffSuki420,1x2 2d,public,throne,08/2020,33,throne/33.png
Diner Cat,NessaSpillsTea and Buffsuki420,1x1 2d,public,throne,08/2020,34,throne/34.png
Server Indicator throne,crubleigh & Mockin_Jay (Gale helped build the ice plot n shit),2x2 rastered indicator map for throne,public,throne,10/02/2020,35,throne/35.png
Ender Dragons,Faeyna,"2x2 Dragon eggs are precious on Minewind. I wanted to honor that with this piece, along with a love of drawing dragons. Drawn in CLIP Studio Paint.",public,throne,07/21/2020,36,throne/36.png
Combat,Faeyna,1x1 Map of my cat living that thug life,private,throne,09/01/2020,37,throne/37.png
Deathchant,Faeyna,1x1 Mapart of the Deathchant Records logo made for Shannimal on his birthday,public,throne,08/16/2020,38,throne/38.png
Hyperion,Faeyna,1x1 Mapart of the cover art for the book Hyperion. Birthday gift for Loseexe,public,throne,08/21/2020,39,throne/39.png
Slay,Faeyna,3x3 Mapart that took ages to finish because I quit playing partway through. Original image is a photoshop matte painting with myself as the model.,public,throne,12/31/2020,40,throne/40.png
RIP Gunpowder Farms,Faeyna,1x1 Commission for Loseexe to commemorate the loss of our gunpowder farm's productivity.,public,throne,03/23/2021,41,throne/41.png
Nirvana,Turtle_Apple,1x1,public,throne,03/25/2021,42,throne/42.png
Gamer Opossum,Turtle_Apple,1x1,public,throne,08/2020,43,throne/43.png
Aheago,Turtle_Apple,N/A,public,throne,08/2020,44,throne/44.png
Unnamed,Turtle_Apple,N/A,public,throne,03/27/2021,45,throne/45.png
Red Lotus,Craft_Jensin,1x1,public,throne,10/18/2020,46,throne/46.png
Kimblee Sweetheart,wunderkindt,1x1 commissioned mapart,public,throne,10/19/2020,47,throne/47.png
"""Gangster Furry Femboy | 1x1 | NinOS""",NintendoOS,1x1 flat carpet of catontheroof's post in #big-map-projects-public https://discord.com/channels/724003973148705229/760332329418883122/830290035147538483,public,throne,04/13/2021,48,throne/48.png
seduction,Rocky_Start,3x2 Fullblock 2D submission for No_LLe270,public,throne,07/2021,49,throne/49.png
Crew Propaganda 2x1,mjohns20,2x1 Carpet,public,throne,03/18/2022,50,throne/50.png
